member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,baseline_depletion_cfs,baseline_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
gen=41_member=6898_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.489438,31.489447863162184,110.10197706316218,2.11934,2.119335855423188,6.480664144576812,2.119335855423188,6.480664144576812,0.0,0.0,0.0,0.0
gen=39_member=6668_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.7709912319006165,5.829008768099383,2.7709912319006165,5.829008768099383,0.0,0.0,0.0,0.0
gen=48_member=8200_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.8907028,34.89080581472363,113.50333501472365,3.16725,3.1672458805732453,5.432754119426754,3.1672458805732453,5.432754119426754,0.0,0.0,0.0,0.0
gen=32_member=5452_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.141817552171591,5.458182447828408,3.141817552171591,5.458182447828408,0.0,0.0,0.0,0.0
gen=44_member=7522_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.1631116,33.16311565476033,111.77564485476032,2.53937,2.539368247581174,6.060631752418826,2.539368247581174,6.060631752418826,0.0,0.0,0.0,0.0
gen=45_member=7699_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.6714616,25.671464649350018,104.28399384935004,1.28466,1.2846600959013812,7.315339904098618,1.2846600959013812,7.315339904098618,0.0,0.0,0.0,0.0
gen=38_member=6478_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.3537617018742854,5.246238298125714,3.3537617018742854,5.246238298125714,0.0,0.0,0.0,0.0
gen=48_member=8105_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.5527908,36.55273076856624,115.16525996856625,3.9902,3.9901981205782486,4.609801879421751,3.9901981205782486,4.609801879421751,0.0,0.0,0.0,0.0
gen=47_member=7995_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.4975364,36.49744644974915,115.10997564974916,3.97511,3.975106482748441,4.624893517251559,3.975106482748441,4.624893517251559,0.0,0.0,0.0,0.0
gen=38_member=6507_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.2430988,36.243072285057984,114.855601485058,3.82686,3.826857056498032,4.773142943501968,3.826857056498032,4.773142943501968,0.0,0.0,0.0,0.0
gen=47_member=8017_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,26.3334004,26.33332130996634,104.94585050996632,1.31111,1.3111126222085394,7.28888737779146,1.3111126222085394,7.28888737779146,0.0,0.0,0.0,0.0
gen=28_member=4806_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.335338,36.335363024535646,114.94789222453564,3.87574,3.87573591840834,4.7242640815916594,3.87573591840834,4.7242640815916594,0.0,0.0,0.0,0.0
gen=33_member=5559_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.27770616129014,6.322293838709859,2.27770616129014,6.322293838709859,0.0,0.0,0.0,0.0
gen=28_member=4728_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.063886,25.063855919912235,103.67638511991224,1.21593,1.215931183468382,7.3840688165316175,1.215931183468382,7.3840688165316175,0.0,0.0,0.0,0.0
gen=30_member=4999_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.7894244899895115,5.810575510010488,2.7894244899895115,5.810575510010488,0.0,0.0,0.0,0.0
gen=47_member=7949_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.0690144,31.06896850977157,109.68149770977158,1.99378,1.9937752885784716,6.606224711421528,1.9937752885784716,6.606224711421528,0.0,0.0,0.0,0.0
gen=37_member=6216_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.7610332,34.76111558406628,113.37364478406629,3.104,3.1039998368234114,5.496000163176588,3.1039998368234114,5.496000163176588,0.0,0.0,0.0,0.0
gen=35_member=5892_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.624976,33.6250096550061,112.23753885500612,2.6693,2.669301284000799,5.930698715999201,2.669301284000799,5.930698715999201,0.0,0.0,0.0,0.0
gen=47_member=7933_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,26.4996092,26.49956968298791,105.11209888298792,1.3367,1.336698211855586,7.263301788144414,1.336698211855586,7.263301788144414,0.0,0.0,0.0,0.0
