member,member_label,pumping_objective_reeval_cfs,expected_shortfall_cfs,probability_below_threshold,risk_aversion,risk_adjusted_score
gen=32_member=5373_pso,gen=32_member=5373_pso,34.49010839919886,0.4063987165789236,0.9704185634740223,0.0,34.49010839919886
gen=46_member=7862_pso,gen=46_member=7862_pso,34.50190548961805,0.4091383156562684,0.9704185634740223,0.0,34.50190548961805
gen=36_member=6144_pso,gen=36_member=6144_pso,34.510550189225945,0.4175717006305327,0.9704185634740223,0.0,34.510550189225945
gen=40_member=6804_pso,gen=40_member=6804_pso,34.528979791643806,0.42726986494244296,0.9704185634740223,0.0,34.528979791643806
gen=34_member=5819_pso,gen=34_member=5819_pso,34.56103873283972,0.43281371878794833,0.9704185634740223,0.0,34.56103873283972
gen=46_member=7810_pso,gen=46_member=7810_pso,34.57406416730866,0.43370396139116285,0.9704185634740223,0.0,34.57406416730866
gen=47_member=7945_pso,gen=47_member=7945_pso,34.610460392456865,0.4449629182122587,0.9704185634740223,0.0,34.610460392456865
gen=38_member=6529_pso,gen=38_member=6529_pso,34.611036113818564,0.45111395830197665,0.9704185634740223,0.0,34.611036113818564
gen=46_member=7897_pso,gen=46_member=7897_pso,34.66001472979494,0.464038402923086,0.9704185634740223,0.0,34.66001472979494
gen=48_member=8233_pso,gen=48_member=8233_pso,34.67641402474263,0.47208321656074026,0.9704185634740223,0.0,34.67641402474263
gen=35_member=5994_pso,gen=35_member=5994_pso,34.68326987798987,0.48553894551316584,0.9704185634740223,0.0,34.68326987798987
gen=48_member=8183_pso,gen=48_member=8183_pso,34.70587203703935,0.4865088423978248,0.9704185634740223,0.0,34.70587203703935
gen=37_member=6216_pso,gen=37_member=6216_pso,34.76111558406628,0.5126203802660781,0.9704185634740223,0.0,34.76111558406628
gen=39_member=6585_pso,gen=39_member=6585_pso,34.78292178056862,0.5174539184305531,0.9704185634740223,0.0,34.78292178056862
gen=50_member=8555_pso,gen=50_member=8555_pso,34.798261721440575,0.5309850534984736,0.9837247733650359,0.0,34.798261721440575
gen=32_member=5452_pso,gen=32_member=5452_pso,34.84753054005696,0.5497281016067755,0.9837247733650359,0.0,34.84753054005696
gen=48_member=8200_pso,gen=48_member=8200_pso,34.89080581472363,0.574683889651351,0.9837247733650359,0.0,34.89080581472363
gen=42_member=7215_pso,gen=42_member=7215_pso,34.92253563470857,0.5831906672652004,0.9837247733650359,0.0,34.92253563470857
gen=40_member=6799_pso,gen=40_member=6799_pso,34.952751930942966,0.597076423979644,0.9970309832560496,0.0,34.952751930942966
gen=43_member=7329_pso,gen=43_member=7329_pso,34.981147257172495,0.6038433808841323,0.9970309832560496,0.0,34.981147257172495
gen=48_member=8171_pso,gen=48_member=8171_pso,34.99403631605541,0.6169035361452371,0.9970309832560496,0.0,34.99403631605541
gen=44_member=7508_pso,gen=44_member=7508_pso,35.030748929325185,0.6283950970258441,0.9970309832560496,0.0,35.030748929325185
gen=47_member=7974_pso,gen=47_member=7974_pso,35.04236881028093,0.638706342322283,0.9970309832560496,0.0,35.04236881028093
