member,pumping_objective_reeval_cfs,streamflow_p05_cfs,streamflow_p95_cfs,worst_case_streamflow_cfs,best_case_streamflow_cfs,expected_depletion_cfs,full_envelope_height_cfs,central_90pct_envelope_height_cfs,prob_below_5_cfs,expected_shortfall_below_5_cfs,max_shortfall_below_5_cfs,streamflow_meets_5_cfs_prob,prob_below_6_cfs,expected_shortfall_below_6_cfs,max_shortfall_below_6_cfs,streamflow_meets_6_cfs_prob,prob_below_7_cfs,expected_shortfall_below_7_cfs,max_shortfall_below_7_cfs,streamflow_meets_7_cfs_prob,baseline_streamflow_cfs,baseline_depletion_cfs,member_label
gen=43_member=7278_pso,26.96102909294159,6.960699476138188,7.454416078887893,6.726080955206504,7.653913324415114,1.3711346900720647,0.9278323692086099,0.4937166027497044,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11115396324187245,0.005505106086182408,0.27391904479349627,0.8888460367581276,7.233593824488368,1.3664061755116317,gen=43_member=7278_pso
gen=34_member=5740_pso,27.025055498234494,6.956959715631927,7.445773052853514,6.722006096279877,7.642901231279523,1.377030361874248,0.9208951349996459,0.48881333722158704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11115396324187245,0.005922334473571802,0.2779939037201231,0.8888460367581276,7.227833578491239,1.37216642150876,gen=34_member=5740_pso
gen=46_member=7881_pso,27.192862415219388,6.94791472008345,7.446628550869012,6.712016234465436,7.648177345697255,1.381282955580958,0.9361611112318196,0.49871383078556253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11115396324187245,0.0069322500202187365,0.2879837655345643,0.8888460367581276,7.223465064862035,1.376534935137965,gen=46_member=7881_pso
gen=50_member=8469_pso,27.342638190802248,6.929719312264679,7.4222424289149185,6.693339587823019,7.620490750389927,1.4022392040307032,0.9271511625669087,0.49252311665023907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13309219452158708,0.009249517227541216,0.30666041217698137,0.866907805478413,7.202690338427311,1.3973096615726888,gen=50_member=8469_pso
gen=41_member=6889_pso,27.38432060845482,6.914074974496416,7.411634120960828,6.676156519205195,7.612544944118122,1.4154308572767877,0.9363884249129271,0.497559146464412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13309219452158708,0.01133085463811714,0.32384348079480496,0.866907805478413,7.189398024545817,1.4106019754541828,gen=41_member=6889_pso
gen=40_member=6838_pso,27.54385585819388,6.903268336984344,7.402144438050173,6.663556810327917,7.60329783485045,1.4251619708428613,0.939741024522533,0.4988761010658287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13309219452158708,0.012767915609112716,0.3364431896720834,0.866907805478413,7.179823143071503,1.4201768569284965,gen=40_member=6838_pso
gen=47_member=7994_pso,27.707961235794844,6.897627280257118,7.396986528943645,6.657778362592926,7.598072507271696,1.4305219557544566,0.94029414467877,0.4993592486865275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13309219452158708,0.013518124334864023,0.3422216374070741,0.866907805478413,7.174490003312835,1.4255099966871652,gen=47_member=7994_pso
gen=46_member=7840_pso,27.838357196260656,6.856402999392348,7.362419321443534,6.612691921807473,7.56693602656417,1.4678441485510003,0.9542441047566967,0.5060163220511864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1463984044126007,0.01905066096870567,0.3873080781925271,0.8536015955873992,7.13740674699663,1.4625932530033692,gen=46_member=7840_pso
gen=32_member=5405_pso,27.86653650330677,6.841143918646053,7.353182613000196,6.596420187874693,7.554597916938398,1.4782732943779155,0.9581777290637055,0.5120386943541426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24471873576144654,0.02132165904624913,0.40357981212530714,0.7552812642385535,7.128207340015209,1.4717926599847913,gen=32_member=5405_pso
gen=41_member=6988_pso,27.935094147883344,6.8274311550526905,7.3414897177250875,6.580715161473609,7.542037601578926,1.4912041824517122,0.9613224401053166,0.514058562672397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.34303906711029236,0.02467195918078021,0.41928483852639076,0.6569609328897077,7.115219343038519,1.4847806569614803,gen=41_member=6988_pso
gen=44_member=7417_pso,28.04007293817745,6.810641270606332,7.322727842303095,6.563902868023254,7.52402340138357,1.508864458295956,0.9601205333603158,0.5120865716967629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35634527700130597,0.030660188794550187,0.43609713197674616,0.643654722998694,7.097665897164395,1.5023341028356043,gen=44_member=7417_pso
gen=37_member=6360_pso,28.056013799679008,6.797712134725828,7.31955868666714,6.549751319519303,7.5266454948179105,1.517666198301624,0.9768941752986073,0.5218465519413122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35634527700130597,0.03491938588107512,0.4502486804806969,0.643654722998694,7.088069246900554,1.5119307530994452,gen=37_member=6360_pso
gen=45_member=7732_pso,28.232171596528566,6.783510858597714,7.302818672584075,6.532767503607838,7.5135945173142495,1.5329493918716524,0.9808270137064117,0.5193078139863605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35634527700130597,0.0399919769501369,0.46723249639216213,0.643654722998694,7.072956965638179,1.5270430343618209,gen=45_member=7732_pso
gen=43_member=7309_pso,28.362383210764136,6.773271873695153,7.294007657253007,6.5219120173227765,7.505167712622836,1.5423633201205025,0.98325569530006,0.5207357835578543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35634527700130597,0.04353355973525514,0.4780879826772235,0.643654722998694,7.063589597449552,1.5364104025504484,gen=43_member=7309_pso
gen=50_member=8474_pso,28.369120398124423,6.760727190940727,7.288811555008854,6.508744730474177,7.497416025201234,1.5509891266944278,0.9886712947270571,0.5280843640681265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35634527700130597,0.04757294794834615,0.49125526952582277,0.643654722998694,7.054991143398908,1.545008856601091,gen=50_member=8474_pso
