member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_signed_streamflow_error_cfs,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold
gen=45_member=5711_pso,50.0,100.17642906394414,98.88330928345108,6.922030430058356,1.677969569941643,6.924424571260334,1.6755754287396654,0.002394141201977895,-0.002394141201977673,0.09796425247273191,0.0979642524727319,6.743214194832116,6.900974843664221,7.072098298099981,1.4812921896658913,1.6564680472416884,1.8173465392838664,0.07868410622986878,0.03814498251394543,-0.002394141201977909,0.22554045581522253,0.2026022048298053,0.41801639616164876,
gen=29_member=3643_pso,50.0,104.2103519446892,102.35342522480737,6.707143575449283,1.8928564245507165,6.710265211571532,1.8897347884284672,0.0031216361222492495,-0.0031216361222492495,0.11154343809724748,0.11154343809724741,6.504889138616711,6.683229050231849,6.878842818411624,1.6675407677268514,1.868334343451576,2.050675143489482,0.08957212046713792,0.0432252421724443,-0.003121636122249337,0.25856735770078565,0.22901605497081157,0.41801639616164876,
gen=28_member=3493_pso,50.0,112.70825437281928,111.98587538795978,5.509193157700887,3.090806842299113,5.514057217622199,3.0859427823778023,0.004864059921311892,-0.0048640599213105595,0.16345945321754604,0.16345945321754599,5.214001645184784,5.474145595275129,5.761432660394933,2.7594709518609077,3.0548339265254403,3.3213768957481156,0.13125829554757437,0.0631971178131318,-0.004864059921310771,0.38050947854646466,0.3340463094804704,0.41801639616164876,
gen=39_member=4935_pso,50.0,106.3801681691645,103.94532287253078,6.578688224468146,2.0213117755318537,6.581987942654697,2.018012057345302,0.0032997181865512815,-0.0032997181865517256,0.11593839037944391,0.11593839037944391,6.368817521067206,6.553826187024896,6.757305153065466,1.7867011009359786,1.9958433692634319,2.185171189235596,0.09309034464118462,0.04489531322731633,-0.0032997181865519485,0.2693807310589067,0.23756295045324727,0.41801639616164876,
gen=44_member=5540_pso,50.0,114.53935053258057,114.24014400405802,4.40229865627693,4.19770134372307,4.408915419434287,4.191084580565713,0.006616763157357042,-0.006616763157357042,0.1971868017663533,0.1971868017663533,4.048973825796023,4.360200772850187,4.708141939577885,3.795201113455595,4.154287509369766,4.474139440276946,0.15828192627407026,0.07583258155835669,-0.0066167631573568544,0.4626156255073628,0.39961432990114254,0.41801639616164876,
gen=42_member=5321_pso,50.0,112.74271276140006,111.78601953470147,5.562457044642887,3.0375429553571123,5.567244764948545,3.0327552350514546,0.004787720305658105,-0.004787720305657661,0.16177785265938097,0.16177785265938094,5.270302668521291,5.52775126367049,5.812082729184622,2.7096201618278526,3.001970712444788,3.2657326346973177,0.12990831476229153,0.06256029722831667,-0.004787720305658178,0.3765639492592765,0.3306127444021225,0.41801639616164876,
gen=39_member=4882_pso,50.0,102.04861038689992,99.8747179039148,6.868835712746872,1.7311642872531274,6.8714111353912966,1.7285888646087033,0.002575422644424563,-0.002575422644424119,0.09999049352958483,0.09999049352958488,6.686816044583142,6.84736297928637,7.022296791665959,1.529856793874421,1.7092176738091407,1.8731118624107388,0.08029901253091129,0.03886179494324338,-0.002575422644424544,0.23097252201199936,0.2061707174731815,0.41801639616164876,
gen=39_member=4970_pso,50.0,112.550902105522,111.96893622141724,5.4665230603289645,3.133476939671035,5.471527912123935,3.1284720878760646,0.005004851794970122,-0.005004851794970566,0.16656590928432818,0.16656590928432827,5.165931038073716,5.4308473360289025,5.723644258950271,2.795696869850147,3.0968203430320633,3.36831639600426,0.13374938716420853,0.06437226768461914,-0.005004851794970283,0.3879060052324217,0.34019628896586873,0.41801639616164876,
gen=32_member=3991_pso,50.0,114.11748498664006,113.6728294514638,4.7412011901892335,3.8587988098107666,4.747178259998372,3.852821740001628,0.005977069809138591,-0.005977069809138591,0.18750289229413755,0.18750289229413752,4.404026186631377,4.701136817135488,5.031342758364093,3.4772940032734354,3.8175206149477847,4.1224380240527,0.15052998363469242,0.072276456912777,-0.005977069809138454,0.4382855504504617,0.38140433015407194,0.41801639616164876,
gen=37_member=4713_pso,50.0,113.62329616992702,113.25725659789096,4.874968694613963,3.725031305386037,4.880697054961823,3.719302945038177,0.005728360347860395,-0.005728360347859951,0.18281562461992937,0.18281562461992937,4.546207420510423,4.835758930972282,5.1578194901303505,3.3530459390682417,3.6848688883392424,3.9820325830002945,0.14677527365033824,0.07052345665123894,-0.005728360347860374,0.42743063851366525,0.3719276221510919,0.41801639616164876,
gen=41_member=5214_pso,50.0,112.83850155832631,111.63241981318505,5.678232495101188,2.9217675048988117,5.682741264157161,2.917258735842839,0.004508769055973083,-0.004508769055972639,0.15692791357518973,0.1569279135751896,5.394318610970531,5.644564292792809,5.920055077100128,2.6043129779958236,2.887245566833562,3.143484278957731,0.1260305754329925,0.06076090318850982,-0.004508769055972874,0.3643928748151293,0.3213422032656821,0.41801639616164876,
gen=47_member=5902_pso,50.0,104.82619723989076,102.73306098283294,6.696482935204916,1.9035170647950834,6.69965666169332,1.9003433383066786,0.0031737264884039718,-0.00317372648840486,0.11274894320444066,0.1127489432044406,6.492109715994295,6.6723086489799215,6.870075464197846,1.6757166111989146,1.878724829213056,2.0629964465352657,0.09054189627889453,0.043684084895244626,-0.003173726488405277,0.26141890758112485,0.23141315898013293,0.41801639616164876,
gen=45_member=5714_pso,50.0,111.5441493218038,110.83594791720645,5.641638097105259,2.9583619028947408,5.64655825803157,2.953441741968429,0.004920160926310757,-0.004920160926311645,0.1599583350264995,0.1599583350264995,5.353482476739022,5.607339504460076,5.888853040478574,2.633493726351066,2.9231683571869462,3.183596975360954,0.12844477413083422,0.061762306602261605,-0.004920160926311003,0.3730883127248088,0.3259473848340635,0.41801639616164876,
gen=45_member=5725_pso,50.0,96.33107850210814,94.92444773110908,7.100423713310399,1.4995762866896,7.102396037036014,1.4976039629639861,0.001972323725614622,-0.001972323725613956,0.0861408034229635,0.08614080342296347,6.942698267999276,7.08189592800326,7.232094656599111,1.3270949864208137,1.4806856376046298,1.6224306028271454,0.06918943515691989,0.03360855571565295,-0.001972323725613989,0.19774009878855914,0.17877467450153528,0.41801639616164876,
gen=41_member=5219_pso,50.0,102.11167767092121,100.48885944280241,6.8343421785477325,1.765657821452267,6.837188380726753,1.7628116192732461,0.0028462021790200964,-0.0028462021790207626,0.10454106727484819,0.10454106727484822,6.644478796241127,6.811921448012663,6.995088130965585,1.5547784314297755,1.7426813016819185,1.9137507226882071,0.0839515625225045,0.04055268017174181,-0.0028462021790208866,0.24196165527394342,0.21503600034086912,0.41801639616164876,
gen=38_member=4779_pso,50.0,106.95197505014431,106.563046480051,6.369252095378082,2.2307479046219183,6.3729190719430875,2.227080928056912,0.0036669765650056974,-0.0036669765650061414,0.12366229448155978,0.12366229448155966,6.145979006884274,6.342732508953884,6.560039812771262,1.9801214059998722,2.203535235178969,2.4051988976587015,0.09930859647970353,0.04782080995734871,-0.003666976565006091,0.28782680088575496,0.2526273007613895,0.41801639616164876,
gen=39_member=4891_pso,50.0,114.04452867622658,114.03231986760247,4.466077227336892,4.133922772663108,4.472593488559002,4.127406511440998,0.006516261222110131,-0.006516261222110131,0.19508638652403476,0.19508638652403484,4.116439771201564,4.424410042113616,4.768610111136541,3.735799931578372,4.090980023827215,4.407459797653247,0.15659982313353182,0.07504178095571093,-0.0065162612221099925,0.45755723168916607,0.3954698220121733,0.41801639616164876,
gen=38_member=4772_pso,50.0,105.96187333443666,104.91317880806483,6.530701134798303,2.069298865201697,6.534382038944107,2.065617961055892,0.0036809041458045755,-0.0036809041458050196,0.12312539610289157,0.12312539610289144,6.308307163680878,6.504318678300151,6.720731611585991,1.8197509887600931,2.042205533586204,2.2429540222596325,0.09886693972823754,0.047593017791216254,-0.003680904145805044,0.28649072787397767,0.251722886557908,0.41801639616164876,
gen=42_member=5263_pso,50.0,114.5217720819255,114.2226322908421,4.405982573321649,4.194017426678351,4.412591993856691,4.1874080061433085,0.006609420535042432,-0.006609420535042432,0.1970508067514524,0.19705080675145237,4.052880652517477,4.3639173969246965,4.711605691314586,3.7918127615923773,4.1506316304680935,4.470280419636502,0.15817243692047625,0.07578150819271678,-0.006609420535042704,0.4622744956284688,0.39935574500302806,0.41801639616164876,
