member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_factor__T_minus_10pct,T_value__T_minus_10pct,depletion_cfs__T_minus_10pct,streamflow_cfs__T_minus_10pct,ag_receipts_reeval__T_minus_10pct,fish_prob_reeval__T_minus_10pct,T_factor__baseline_T,T_value__baseline_T,depletion_cfs__baseline_T,streamflow_cfs__baseline_T,ag_receipts_reeval__baseline_T,fish_prob_reeval__baseline_T,T_factor__T_plus_10pct,T_value__T_plus_10pct,depletion_cfs__T_plus_10pct,streamflow_cfs__T_plus_10pct,ag_receipts_reeval__T_plus_10pct,fish_prob_reeval__T_plus_10pct
gen=36_member=4573_pso,50,95.34454684297248,94.42085314682879,0.9,1530.0,1.3708931071095682,7.229106892890432,9923883.486663597,0.7198216599864975,1.0,1700.0,1.4670362263043522,7.132963773695647,9923883.486663597,0.7187011319527531,1.1,1870.0000000000002,1.5582696229017106,7.041730377098289,9923883.486663597,0.7176378257134999
gen=44_member=5555_pso,50,108.35905241245798,106.33391522597017,0.9,1530.0,2.038146452474376,6.561853547525624,11481968.855985735,0.7080790397307601,1.0,1700.0,2.1801279813367684,6.419872018663231,11481968.855985735,0.7042700609099659,1.1,1870.0000000000002,2.3130546570439376,6.286945342956062,11481968.855985735,0.7000759291283087
gen=38_member=4840_pso,50,111.54088928533567,110.65515065434496,0.9,1530.0,2.7189464388034064,5.881053561196593,11953765.575695587,0.685632851309265,1.0,1700.0,2.89415036265607,5.705849637343929,11953765.575695587,0.6776945795982344,1.1,1870.0000000000002,3.0580232464755466,5.5419767535244535,11953765.575695587,0.6702697032072064
gen=47_member=5966_pso,50,108.07935121426111,106.8318816343605,0.9,1530.0,2.112595899747401,6.487404100252599,11540755.077291641,0.7064008480387992,1.0,1700.0,2.2515861865427147,6.3484138134572845,11540755.077291641,0.7020153958630895,1.1,1870.0000000000002,2.381749538796445,6.218250461203555,11540755.077291641,0.6979084530723358
gen=47_member=5898_pso,50,109.20208556624591,108.85591904641383,0.9,1530.0,2.3134884280598613,6.286511571940139,11764362.834467728,0.7000622426895697,1.0,1700.0,2.4638199090570296,6.13618009094297,11764362.834467728,0.6953189506537198,1.1,1870.0000000000002,2.604201649283357,5.995798350716642,11764362.834467728,0.6908317948980007
gen=38_member=4768_pso,50,99.4337445899463,97.90858493273069,0.9,1530.0,1.5186982208704085,7.081301779129591,10568987.168558508,0.7180990221639793,1.0,1700.0,1.6246944403027037,6.975305559697296,10568987.168558508,0.7166401343828656,1.1,1870.0000000000002,1.725133899932872,6.874866100067128,10568987.168558508,0.7145603967219368
gen=41_member=5241_pso,50,107.3323158920554,105.80415205228012,0.9,1530.0,1.999519708705937,6.600480291294063,11446374.076925283,0.7088788597818642,1.0,1700.0,2.136021468651098,6.463978531348902,11446374.076925283,0.7056617193235153,1.1,1870.0000000000002,2.2640793623451425,6.335920637654857,11446374.076925283,0.7016212084254811
gen=39_member=4901_pso,50,95.88550708593822,94.20507927130309,0.9,1530.0,1.3678462219367333,7.2321537780632665,9895339.590260155,0.7198571707987154,1.0,1700.0,1.4634930103697525,7.136506989630247,9895339.590260155,0.7187424273966453,1.1,1870.0000000000002,1.5542562723224085,7.045743727677591,9895339.590260155,0.7176846004787771
gen=40_member=5082_pso,50,100.5597504330896,97.74289426286462,0.9,1530.0,1.5356241320300108,7.064375867969989,10606192.66881587,0.7179017541940003,1.0,1700.0,1.6409722314787833,6.959027768521216,10606192.66881587,0.7163030802462714,1.1,1870.0000000000002,1.7408378173383012,6.859162182661699,10606192.66881587,0.7142352254339546
gen=49_member=6158_pso,50,111.2629568994341,110.07893984150185,0.9,1530.0,2.5829243738796457,6.017075626120354,11921105.488845602,0.6915609403176286,1.0,1700.0,2.751981912848804,5.848018087151196,11921105.488845602,0.684136055099977,1.1,1870.0000000000002,2.9098466910617162,5.690153308938283,11921105.488845602,0.6769833984956105
