member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_streamflow_error_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,min_streamflow_cfs,max_streamflow_cfs,min_depletion_cfs,max_depletion_cfs
gen=47_member=5958_pso,50.0,104.46886342205235,103.68786455809354,6.59734774647386,2.0026522535261395,6.600627963437609,1.9993720365623908,0.0032802169637493606,-0.0032802169637486944,0.11460384447142027,0.11460384447142026,6.389959710660446,6.572774551225267,6.77394766287452,1.7706557272307126,1.9774767652015317,2.164580941508879,-0.0032802169637487647,0.09201634736817962,0.04436806520221544,0.41801639616164893,,0.26640317315319706,0.23474325624298942,6.36260449023087,6.863750919627057,1.7362490803729431,2.2373955097691294
gen=39_member=4935_pso,50.0,106.3801681691645,103.94532287253078,6.578688224468146,2.0213117755318537,6.581987942654696,2.0180120573453015,0.0032997181865503933,-0.0032997181865521696,0.11593839037944352,0.11593839037944345,6.368817521067206,6.553826187024896,6.757305153065465,1.786701100935979,1.995843369263432,2.1851711892355943,-0.003299718186552094,0.09309034464118436,0.04489531322731612,0.41801639616164893,,0.2693807310589067,0.23756295045324727,6.341125274014899,6.848068955527053,1.7519310444729472,2.258874725985101
gen=37_member=4723_pso,50.0,106.8511723206405,104.51778202732396,6.565250283271652,2.034749716728347,6.568466027417711,2.031533972582289,0.003215744146058519,-0.003215744146058075,0.1167494657394242,0.11674946573942419,6.353549174837693,6.540189091068753,6.7448772372330446,1.7989621432701002,2.009091409841128,2.2000045616174355,-0.0032157441460585866,0.09375936360137235,0.04527180972765688,0.41801639616164893,,0.2706338466508411,0.2396598458078092,6.325590437463843,6.835884129922493,1.7641158700775061,2.2744095625361562
gen=47_member=5976_pso,50.0,107.22293932834354,104.56205629468799,6.509666480452936,2.0903335195470634,6.5129707852778225,2.087029214722177,0.003304304824886195,-0.003304304824886195,0.11575272860275491,0.11575272860275483,6.300193561093278,6.484826475080817,6.687982618273937,1.8562519386385623,2.064867753740631,2.253924160773282,-0.003304304824885991,0.0929660352378519,0.044830865206482946,0.41801639616164893,,0.2687159025684567,0.23707522756351285,6.272591252889423,6.778382383021393,1.8216176169786071,2.327408747110576
gen=38_member=4772_pso,50.0,105.96187333443666,104.91317880806483,6.530701134798303,2.069298865201697,6.534382038944108,2.0656179610558922,0.0036809041458054637,-0.0036809041458045755,0.12312539610289147,0.12312539610289133,6.308307163680878,6.504318678300151,6.7207316115859905,1.819750988760094,2.042205533586204,2.2429540222596334,-0.0036809041458049207,0.09886693972823746,0.047593017791216274,0.41801639616164893,,0.28649072787397767,0.251722886557908,6.278978248240395,6.8171918626722805,1.7828081373277194,2.321021751759605
gen=35_member=4446_pso,50.0,108.73697829937431,105.4367433639537,6.486594740790137,2.113405259209862,6.490084582329688,2.1099154176703117,0.0034898415395510085,-0.0034898415395505644,0.12184865840664577,0.1218486584066457,6.266110764775304,6.460464695099246,6.674366694392804,1.8668000824297164,2.0866324876921105,2.2855712382707147,-0.0034898415395511083,0.09783967420856168,0.04717491633450528,0.41801639616164893,,0.28312865938672616,0.24955697012124123,6.237037770668896,6.769723400176863,1.8302765998231363,2.362962229331104
gen=41_member=5185_pso,50.0,108.02841432727222,105.72719791278043,6.456366832581648,2.1436331674183515,6.459959069614356,2.1400409303856445,0.0035922370327075015,-0.0035922370327070574,0.12108261888282212,0.12108261888282203,6.237755442958515,6.430412567194756,6.643203327076303,1.8980421540775483,2.117010809450338,2.3144206603282247,-0.0035922370327068423,0.09721732097547638,0.046812541971384763,0.41801639616164893,,0.28211792953548454,0.247372030154958,6.20899480242669,6.738484762117133,1.861515237882867,2.3910051975733095
gen=41_member=5241_pso,50.0,107.3323158920554,105.80415205228012,6.463978531348902,2.136021468651098,6.4675668187963655,2.1324331812036346,0.003588287447463756,-0.003588287447463312,0.12168297261543627,0.12168297261543633,6.244186732683406,6.437896729517332,6.6517060010379065,1.8892950141712899,2.109275560217734,2.3077080028490484,-0.0035882874474630067,0.09769740686807195,0.047054559710304464,0.41801639616164893,,0.2833935275825299,0.24872549731172633,6.215253034037175,6.747372058931432,1.8526279410685678,2.3847469659628246
gen=49_member=6198_pso,50.0,108.17573092153894,105.98749701789104,6.4494549561429455,2.150545043857054,6.452967479392809,2.14703252060719,0.0035125232498636194,-0.0035125232498640635,0.12183849055106741,0.12183849055106745,6.2291150799129875,6.4233188805448,6.637236325657784,1.9038741142408884,2.123752786151697,2.322639749860421,-0.003512523249863995,0.09783881306662232,0.04716314490837917,0.41801639616164893,,0.2832495318918129,0.2493593331841435,6.200095622958802,6.732704488034758,1.8672955119652412,2.3999043770411976
gen=48_member=6130_pso,50.0,108.10197565175143,106.17257835942013,6.3899124981359625,2.210087501864037,6.39356094491719,2.20643905508281,0.0036484467812272214,-0.0036484467812272214,0.12127020649450053,0.12127020649450054,6.171143316536317,6.3639117700539405,6.577125698042114,1.9641263769023856,2.1833979494348017,2.381042621840887,-0.0036484467812272067,0.09738494202736228,0.04686824762306754,0.41801639616164893,,0.28249575225396306,0.2475112271040496,6.142401271031913,6.672408250389926,1.927591749610074,2.457598728968087
gen=29_member=3677_pso,50.0,107.49075901812276,106.21526603405167,6.390517615708084,2.209482384291916,6.394152425053442,2.205847574946558,0.003634809345358647,-0.003634809345358203,0.12379755983711174,0.1237975598371119,6.16687378006039,6.363965038968221,6.581436300825272,1.958657268934352,2.182246101908831,2.384200057863251,-0.0036348093453589005,0.09941514869193856,0.04789016967328984,0.41801639616164893,,0.28805580301810263,0.25306432757377895,6.137453288134305,6.678573418726186,1.9214265812738134,2.4625467118656954
gen=44_member=5555_pso,50.0,108.35905241245798,106.33391522597017,6.419872018663231,2.1801279813367684,6.423697154141992,2.176302845858008,0.00382513547876151,-0.0038251354787606218,0.12644845958475318,0.1264484595847533,6.19173458782433,6.392797458208092,6.615164884020046,1.9234454842051554,2.1523409819630377,2.3583395834896006,-0.0038251354787613096,0.1015117949518066,0.048843329736522646,0.41801639616164893,,0.29482939278749054,0.25816063278052326,6.1617113858827075,6.714701411450721,1.8852985885492786,2.4382886141172926
gen=33_member=4206_pso,50.0,108.43121424251783,106.53460570377749,6.334191750730906,2.265808249269094,6.337933862218964,2.2620661377810336,0.003742111488058697,-0.0037421114880604733,0.12622164207460065,0.12622164207460063,6.10630677399958,6.307120428306337,6.528925838706281,2.009984785499883,2.2380314282198333,2.443867867789491,-0.003742111488059803,0.10136472195341195,0.04881130523267608,0.41801639616164893,,0.29379533131264957,0.2578383765008656,6.07635337423004,6.627987082043555,1.9720129179564445,2.5236466257699592
gen=38_member=4779_pso,50.0,106.95197505014431,106.563046480051,6.369252095378082,2.2307479046219183,6.372919071943087,2.2270809280569126,0.003666976565004809,-0.0036669765650056974,0.12366229448155987,0.12366229448155978,6.145979006884275,6.342732508953884,6.560039812771261,1.9801214059998737,2.203535235178969,2.405198897658701,-0.0036669765650055204,0.0993085964797038,0.04782080995734913,0.41801639616164893,,0.28782680088575496,0.2526273007613895,6.116624794616692,6.657078896263837,1.9429211037361633,2.483375205383308
gen=47_member=5966_pso,50.0,108.07935121426111,106.8318816343605,6.3484138134572845,2.2515861865427147,6.352142630467773,2.2478573695322264,0.003728817010488328,-0.003728817010488328,0.12374475804835072,0.12374475804835078,6.125201193988131,6.321883797571197,6.539462963194603,2.000593245820822,2.2243515101201674,2.426017887055564,-0.0037288170104884536,0.0993722554547866,0.04782171922214907,0.41801639616164893,,0.28826136028956206,0.2525372547269331,6.095876558730351,6.636675173746847,1.9633248262531533,2.504123441269648
gen=34_member=4333_pso,50.0,109.59674723816163,106.99026041312557,6.327466167456523,2.272533832543477,6.330826799448021,2.2691732005519794,0.003360631991498053,-0.003360631991497609,0.12784297915955475,0.12784297915955464,6.094169532031596,6.3001565373683945,6.5236960751521655,2.0148519916694854,2.2445245532342826,2.4542284863018007,-0.0033606319914978823,0.1025689712075575,0.04960416960802982,0.41801639616164893,,0.2958570198184294,0.26431282560182545,6.063153341854697,6.623323187274952,1.9766768127250476,2.536846658145303
gen=40_member=5054_pso,50.0,108.68417066619094,107.34892054322654,6.320863213967003,2.2791367860329963,6.324679884701105,2.2753201152988956,0.003816670734101635,-0.0038166707341007466,0.12720261906890662,0.12720261906890679,6.091366662253188,6.29359218936557,6.517205597085416,2.021110765398155,2.2511460219383412,2.4584731783092733,-0.003816670734100869,0.10214478958697662,0.04916405942643787,0.41801639616164893,,0.2963785549865845,0.2596529871130784,6.061210226853925,6.617241768953588,1.982758231046412,2.538789773146075
