member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=34_member=1266_pso,Tplus10per,1.1,112.64267565865677,3.366080498198415,lpr:total_combined:bdpl,5.2339195018015845
gen=28_member=1062_pso,Tplus10per,1.1,111.2042611857134,2.8627573511760227,lpr:total_combined:bdpl,5.737242648823977
gen=48_member=1821_pso,Tplus10per,1.1,112.88071830978443,3.4756970054099865,lpr:total_combined:bdpl,5.124302994590013
gen=47_member=1772_pso,Tplus10per,1.1,111.56267158415878,2.974497993367274,lpr:total_combined:bdpl,5.6255020066327255
gen=43_member=1607_pso,Tplus10per,1.1,111.72070561231739,3.0235447413484495,lpr:total_combined:bdpl,5.57645525865155
gen=25_member=940_pso,Tplus10per,1.1,111.77120346072516,3.0646409025457,lpr:total_combined:bdpl,5.535359097454299
gen=44_member=1653_pso,Tplus10per,1.1,114.28119691893674,4.146401354344255,lpr:total_combined:bdpl,4.453598645655744
gen=33_member=1226_pso,Tplus10per,1.1,113.99898597425744,3.995774559090872,lpr:total_combined:bdpl,4.604225440909127
gen=46_member=1728_pso,Tplus10per,1.1,115.97474611385998,5.100396815751251,lpr:total_combined:bdpl,3.4996031842487483
gen=25_member=941_pso,Tplus10per,1.1,112.99705442269719,3.498928692133685,lpr:total_combined:bdpl,5.101071307866315
gen=22_member=820_pso,Tplus10per,1.1,112.20222250950489,3.1782222817296653,lpr:total_combined:bdpl,5.421777718270334
gen=16_member=606_pso,Tplus10per,1.1,114.84443695409479,4.468016255555232,lpr:total_combined:bdpl,4.131983744444768
gen=27_member=996_pso,Tplus10per,1.1,114.54921957929956,4.289331989618951,lpr:total_combined:bdpl,4.310668010381049
gen=24_member=887_pso,Tplus10per,1.1,113.18683988133154,3.6197451124381548,lpr:total_combined:bdpl,4.980254887561845
gen=25_member=924_pso,Tplus10per,1.1,113.40096887113393,3.6981553270483154,lpr:total_combined:bdpl,4.901844672951684
gen=23_member=843_pso,Tplus10per,1.1,115.57486744100466,4.881123445823471,lpr:total_combined:bdpl,3.7188765541765285
gen=44_member=1670_pso,Tplus10per,1.1,115.18858679817706,4.659590248974787,lpr:total_combined:bdpl,3.9404097510252125
gen=38_member=1427_pso,Tplus10per,1.1,110.58945672318332,2.6876468829359954,lpr:total_combined:bdpl,5.912353117064004
gen=7_member=253_pso,Tplus10per,1.1,115.63132396705959,4.91475440407482,lpr:total_combined:bdpl,3.6852455959251795
gen=27_member=1020_pso,Tplus10per,1.1,116.07871802642326,5.1601661258577245,lpr:total_combined:bdpl,3.439833874142275
gen=45_member=1692_pso,Tplus10per,1.1,113.90744325088717,3.9488025357238046,lpr:total_combined:bdpl,4.651197464276195
gen=11_member=402_pso,Tplus10per,1.1,115.2391083091381,4.68585233779823,lpr:total_combined:bdpl,3.9141476622017697
30,Tplus10per,1.1,116.40209974596388,5.324454988586198,lpr:total_combined:bdpl,3.2755450114138016
gen=47_member=1765_pso,Tplus10per,1.1,113.66284623005095,3.822143053489758,lpr:total_combined:bdpl,4.777856946510242
gen=43_member=1614_pso,Tplus10per,1.1,113.32119256010964,3.6496160405905336,lpr:total_combined:bdpl,4.950383959409466
gen=35_member=1321_pso,Tplus10per,1.1,111.92870960513923,3.107420507110035,lpr:total_combined:bdpl,5.4925794928899645
gen=32_member=1213_pso,Tplus10per,1.1,114.30633806608371,4.187656631077828,lpr:total_combined:bdpl,4.412343368922172
gen=35_member=1300_pso,Tplus10per,1.1,113.9326525338363,3.956405447281222,lpr:total_combined:bdpl,4.643594552718778
gen=22_member=800_pso,Tplus10per,1.1,112.81989247314621,3.4376028141731965,lpr:total_combined:bdpl,5.162397185826803
0,Tplus10per,1.1,116.53627442426476,5.373206730195941,lpr:total_combined:bdpl,3.226793269804059
gen=29_member=1067_pso,Tplus10per,1.1,115.49505712941911,4.8263807186131995,lpr:total_combined:bdpl,3.7736192813868
gen=32_member=1204_pso,Tplus10per,1.1,114.48150604111056,4.253031655753097,lpr:total_combined:bdpl,4.3469683442469025
gen=46_member=1738_pso,Tplus10per,1.1,115.89068731625667,5.059487108026905,lpr:total_combined:bdpl,3.540512891973095
gen=37_member=1368_pso,Tplus10per,1.1,110.74955317582852,2.7279025057294577,lpr:total_combined:bdpl,5.872097494270542
gen=43_member=1630_pso,Tplus10per,1.1,111.22329335304423,2.884834498970097,lpr:total_combined:bdpl,5.715165501029903
gen=42_member=1595_pso,Tplus10per,1.1,113.1478315564388,3.5656903672856233,lpr:total_combined:bdpl,5.034309632714376
gen=48_member=1819_pso,Tplus10per,1.1,114.48803397391703,4.259723008977947,lpr:total_combined:bdpl,4.340276991022052
gen=33_member=1225_pso,Tplus10per,1.1,111.11803090248605,2.841660250813721,lpr:total_combined:bdpl,5.758339749186279
gen=21_member=780_pso,Tplus10per,1.1,115.15110266496083,4.645492752175161,lpr:total_combined:bdpl,3.9545072478248384
gen=27_member=1007_pso,Tplus10per,1.1,112.0840138151359,3.159757635216219,lpr:total_combined:bdpl,5.4402423647837805
gen=37_member=1396_pso,Tplus10per,1.1,115.0901447071527,4.59312263285867,lpr:total_combined:bdpl,4.00687736714133
gen=24_member=876_pso,Tplus10per,1.1,113.45885253885379,3.7429593622119324,lpr:total_combined:bdpl,4.857040637788067
