total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,member,scenario
0.0,-0.25251178859417767,0.25251178859417767,gen=22_member=807_pso,Tmin10per
0.0,-0.25933448725686503,0.25933448725686503,gen=22_member=817_pso,Tmin10per
0.0,-0.2402241859682266,0.24022418596822614,gen=22_member=819_pso,Tmin10per
0.0,-0.2092312789519335,0.2092312789519326,gen=22_member=820_pso,Tmin10per
0.0,-0.24909515401667726,0.24909515401667726,gen=23_member=838_pso,Tmin10per
0.0,-0.22018396651781513,0.22018396651781558,gen=23_member=839_pso,Tmin10per
0.0,-0.2612720678034144,0.2612720678034144,gen=23_member=843_pso,Tmin10per
0.0,-0.22142024775977553,0.22142024775977553,gen=23_member=858_pso,Tmin10per
0.0,-0.22854706108642997,0.22854706108642908,gen=24_member=876_pso,Tmin10per
0.0,-0.24663241772677136,0.24663241772677136,gen=24_member=882_pso,Tmin10per
0.0,-0.22447274517467708,0.22447274517467797,gen=24_member=887_pso,Tmin10per
0.0,-0.21435391751797672,0.21435391751797628,gen=24_member=905_pso,Tmin10per
0.0,-0.22707776545043012,0.22707776545043057,gen=25_member=924_pso,Tmin10per
0.0,-0.25119200671091324,0.25119200671091324,gen=25_member=939_pso,Tmin10per
0.0,-0.203963774465576,0.203963774465576,gen=25_member=940_pso,Tmin10per
0.0,-0.22107513759455877,0.22107513759455877,gen=25_member=941_pso,Tmin10per
0.0,-0.27127238316201474,0.27127238316201474,gen=26_member=959_pso,Tmin10per
0.0,-0.26546713868733374,0.26546713868733374,gen=26_member=962_pso,Tmin10per
0.0,-0.20809596656074403,0.20809596656074447,gen=27_member=1007_pso,Tmin10per
0.0,-0.23912344936040864,0.23912344936040864,gen=27_member=1010_pso,Tmin10per
0.0,-0.2506841929898487,0.2506841929898487,gen=27_member=1018_pso,Tmin10per
0.0,-0.26968463428987466,0.26968463428987466,gen=27_member=1020_pso,Tmin10per
0.0,-0.2412414616041545,0.2412414616041545,gen=27_member=993_pso,Tmin10per
0.0,-0.2456067519761782,0.24560675197617776,gen=27_member=996_pso,Tmin10per
0.0,-0.27513695604949984,0.27513695604949984,gen=28_member=1030_pso,Tmin10per
0.0,-0.2565564160613407,0.2565564160613407,gen=28_member=1037_pso,Tmin10per
0.0,-0.2119340204783957,0.21193402047839616,gen=28_member=1045_pso,Tmin10per
0.0,-0.20198604903232376,0.20198604903232376,gen=28_member=1048_pso,Tmin10per
0.0,-0.24741390712033118,0.24741390712033162,gen=28_member=1060_pso,Tmin10per
0.0,-0.19471261294676934,0.19471261294676978,gen=28_member=1062_pso,Tmin10per
0.0,-0.260106982486465,0.260106982486465,gen=29_member=1067_pso,Tmin10per
0.0,-0.2462305316744806,0.24623053167448017,gen=29_member=1069_pso,Tmin10per
0.0,-0.21323112350479212,0.21323112350479168,gen=29_member=1071_pso,Tmin10per
0.0,-0.18812860918133723,0.18812860918133723,gen=29_member=1091_pso,Tmin10per
0.0,-0.22838869737845657,0.22838869737845613,gen=29_member=1095_pso,Tmin10per
0.0,-0.22304709851355176,0.2230470985135513,gen=30_member=1106_pso,Tmin10per
0.0,-0.2434123443473779,0.24341234434737835,gen=30_member=1109_pso,Tmin10per
0.0,-0.24895466083672613,0.24895466083672613,gen=30_member=1110_pso,Tmin10per
0.0,-0.21556360792509022,0.21556360792509022,gen=30_member=1117_pso,Tmin10per
0.0,-0.26296360281065034,0.26296360281065034,gen=30_member=1124_pso,Tmin10per
0.0,-0.2572439357621894,0.2572439357621894,gen=30_member=1130_pso,Tmin10per
0.0,-0.19055716031698378,0.1905571603169829,gen=31_member=1143_pso,Tmin10per
0.0,-0.24283879269229836,0.24283879269229836,gen=31_member=1151_pso,Tmin10per
0.0,-0.264641184840019,0.264641184840019,gen=31_member=1153_pso,Tmin10per
0.0,-0.24453114471260617,0.24453114471260662,gen=31_member=1158_pso,Tmin10per
0.0,-0.23813449389613384,0.23813449389613428,gen=31_member=1160_pso,Tmin10per
0.0,-0.2696078055336333,0.2696078055336333,gen=31_member=1161_pso,Tmin10per
0.0,-0.23201903371778743,0.23201903371778698,gen=31_member=1164_pso,Tmin10per
0.0,-0.2299466586363259,0.2299466586363259,gen=31_member=1169_pso,Tmin10per
0.0,-0.21425492764287313,0.21425492764287313,gen=31_member=1170_pso,Tmin10per
0.0,-0.2394107755274253,0.23941077552742573,gen=31_member=1176_pso,Tmin10per
0.0,-0.19680940440400985,0.19680940440401073,gen=32_member=1182_pso,Tmin10per
0.0,-0.24755109795463515,0.24755109795463515,gen=32_member=1192_pso,Tmin10per
0.0,-0.2443449030149072,0.2443449030149072,gen=32_member=1204_pso,Tmin10per
0.0,-0.2674676799359901,0.2674676799359901,gen=32_member=1207_pso,Tmin10per
0.0,-0.2184541804206317,0.2184541804206317,gen=32_member=1210_pso,Tmin10per
0.0,-0.24168460893190513,0.24168460893190513,gen=32_member=1213_pso,Tmin10per
0.0,-0.19373728368561638,0.19373728368561682,gen=33_member=1225_pso,Tmin10per
0.0,-0.2373160936934906,0.23731609369349105,gen=33_member=1226_pso,Tmin10per
0.0,-0.24945906275968754,0.249459062759688,gen=33_member=1227_pso,Tmin10per
0.0,-0.25918027394476617,0.25918027394476617,gen=33_member=1241_pso,Tmin10per
0.0,-0.26273120314603915,0.26273120314603915,gen=33_member=1244_pso,Tmin10per
0.0,-0.20626061372950133,0.20626061372950133,gen=34_member=1258_pso,Tmin10per
0.0,-0.21622890336079204,0.21622890336079248,gen=34_member=1266_pso,Tmin10per
0.0,-0.22540958473218975,0.22540958473218886,gen=34_member=1267_pso,Tmin10per
0.0,-0.22275796008955018,0.22275796008955062,gen=34_member=1281_pso,Tmin10per
0.0,-0.2464459431674304,0.24644594316742996,gen=34_member=1286_pso,Tmin10per
0.0,-0.23670620762533856,0.236706207625339,gen=35_member=1300_pso,Tmin10per
0.0,-0.20158235429008586,0.2015823542900863,gen=35_member=1311_pso,Tmin10per
0.0,-0.2614168478286629,0.2614168478286629,gen=35_member=1312_pso,Tmin10per
0.0,-0.20607440376746933,0.20607440376746844,gen=35_member=1321_pso,Tmin10per
0.0,-0.2350177810102254,0.2350177810102254,gen=35_member=1329_pso,Tmin10per
0.0,-0.22269869836983247,0.22269869836983247,gen=36_member=1334_pso,Tmin10per
0.0,-0.27153414243929586,0.27153414243929586,gen=36_member=1342_pso,Tmin10per
0.0,-0.24302779812612263,0.24302779812612307,gen=36_member=1364_pso,Tmin10per
0.0,-0.1886239216022334,0.1886239216022334,gen=37_member=1368_pso,Tmin10per
0.0,-0.2688794809912656,0.2688794809912656,gen=37_member=1378_pso,Tmin10per
0.0,-0.20486073228499446,0.20486073228499446,gen=37_member=1384_pso,Tmin10per
0.0,-0.22120329407277994,0.2212032940727804,gen=37_member=1392_pso,Tmin10per
0.0,-0.25322785411647253,0.25322785411647253,gen=37_member=1396_pso,Tmin10per
0.0,-0.24880578373224482,0.24880578373224527,gen=37_member=1398_pso,Tmin10per
0.0,-0.18687006515816318,0.1868700651581623,gen=38_member=1427_pso,Tmin10per
0.0,-0.2717093690705177,0.2717093690705177,gen=38_member=1428_pso,Tmin10per
0.0,-0.21241575559124737,0.21241575559124648,gen=38_member=1432_pso,Tmin10per
0.0,-0.22692804726114923,0.2269280472611488,gen=38_member=1440_pso,Tmin10per
0.0,-0.24784069553200583,0.24784069553200538,gen=38_member=1441_pso,Tmin10per
