member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=43_member=7269_pso,50,storage_zminus_2p00,,,0.8,0.096,36.833296,36.83339971387087,115.44592891387086,4.14372,4.657273472255743,3.9427265277442567,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=35_member=5948_pso,50,storage_zminus_2p00,,,0.8,0.096,37.07392,37.07384621264411,115.68637541264413,4.33924,4.8642723283884655,3.735727671611534,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=29_member=4871_pso,50,storage_zminus_2p00,,,0.8,0.096,17.843495,17.843497187733753,96.45602638773376,0.881544,1.0698187997422033,7.530181200257797,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=36_member=6031_pso,50,storage_zminus_2p00,,,0.8,0.096,31.3383796,31.338390787551678,109.95091998755169,2.05415,2.397181644495399,6.202818355504601,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6689_pso,50,storage_zminus_2p00,,,0.8,0.096,29.4165068,29.416418185838467,108.02894738583844,1.67871,1.978477831533814,6.621522168466186,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7811_pso,50,storage_zminus_2p00,,,0.8,0.096,30.8479968,30.84800808580873,109.46053728580873,1.95962,2.290873530258535,6.309126469741464,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=36_member=6150_pso,50,storage_zminus_2p00,,,0.8,0.096,29.5103056,29.51027094900253,108.12280014900254,1.71536,2.019287266452038,6.580712733547962,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=28_member=4698_pso,50,storage_zminus_2p00,,,0.8,0.096,19.62453592,19.62453473077234,98.23706393077234,0.948853,1.1571814104798182,7.442818589520181,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=45_member=7580_pso,50,storage_zminus_2p00,,,0.8,0.096,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.9936760944286944,6.606323905571306,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=37_member=6318_pso,50,storage_zminus_2p00,,,0.8,0.096,36.3585092,36.35850397821222,114.9710331782122,3.89263,4.386053069203504,4.213946930796496,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6634_pso,50,storage_zminus_2p00,,,0.8,0.096,37.24659,37.24656995207669,115.8590991520767,4.3792,4.906948474267178,3.693051525732821,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7788_pso,50,storage_zminus_2p00,,,0.8,0.096,32.533256,32.533172613400616,111.1457018134006,2.35444,2.7245321344716764,5.875467865528323,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
