member,generation,ag_receipts_archive,fish_prob_archive,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_archive_gpm,raw_total_pumping_reeval_gpm,raw_total_pumping_archive_cfs,raw_total_pumping_reeval_cfs,effective_total_pumping_archive_gpm,effective_total_pumping_reeval_gpm,effective_total_pumping_archive_cfs,effective_total_pumping_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs,depletion_reeval_cfs,streamflow_reeval_cfs
gen=36_member=4595_pso,50,12058100.0,0.663152,12058128.274327343,0.6631516057535513,50642.234983008704,50642.234983008704,112.83089954214338,112.83089954214338,50507.80174322089,50507.80174322089,112.53138228389614,112.53138228389614,3.188178930123629,5.411821069876371,3.188178930123629,5.411821069876371
gen=44_member=5538_pso,50,11819700.0,0.693476,11819711.981230736,0.6934764652608703,49533.11938529392,49533.11938529392,110.35978999043485,110.35978999043485,48989.99124684964,48989.99124684964,109.149700497981,109.149700497981,2.5222147023207158,6.077785297679284,2.5222147023207153,6.077785297679284
gen=47_member=5958_pso,50,11252200.0,0.708814,11252182.316333093,0.7088139961171142,46889.07693987987,46889.07693987987,104.46886342205235,104.46886342205235,46538.53885013175,46538.53885013175,103.68786455809354,103.68786455809354,2.0026522535261395,6.59734774647386,2.0026522535261395,6.59734774647386
gen=46_member=5862_pso,50,12127400.0,0.646326,12127415.605267622,0.6463260316051229,50873.35612585935,50873.35612585935,113.34583744841463,113.34583744841463,50761.635386620335,50761.635386620335,113.0969236413901,113.0969236413901,3.472613185398164,5.127386814601836,3.472613185398164,5.127386814601836
gen=48_member=6077_pso,50,11804900.0,0.693913,11804869.991800735,0.6939129026208544,49514.66438767297,49514.66438767297,110.31867225573538,110.31867225573538,48929.08457796394,48929.08457796394,109.01400043970366,109.01400043970366,2.5083824790055527,6.091617520994447,2.508382479005553,6.091617520994447
gen=38_member=4784_pso,50,11163300.0,0.710244,11163326.786992056,0.7102441206169997,47658.341063344036,47658.341063344036,106.1827838891305,106.1827838891305,46251.2716214466,46251.2716214466,103.04783317258301,103.04783317258301,1.9335854021290155,6.666414597870984,1.9335854021290155,6.666414597870984
gen=38_member=4799_pso,50,11949800.0,0.678338,11949789.008105733,0.6783375110730322,50300.94685990873,50300.94685990873,112.07050960387664,112.07050960387664,49627.29767271265,49627.29767271265,110.56961921480378,110.56961921480378,2.879960357418984,5.720039642581016,2.8799603574189843,5.720039642581016
gen=33_member=4144_pso,50,10275000.0,0.717721,10274983.576880537,0.7177213397693751,43886.43329653439,43886.43329653439,97.77897338467862,97.77897338467862,43197.64571836743,43197.64571836743,96.24435466052263,96.24435466052263,1.5511039817159038,7.048896018284096,1.5511039817159038,7.048896018284096
gen=40_member=5066_pso,50,11747400.0,0.695498,11747366.836248316,0.6954978957629557,49275.627853929764,49275.627853929764,109.7860988585555,109.7860988585555,48795.80376842059,48795.80376842059,108.71705079604108,108.71705079604108,2.4581485139404498,6.14185148605955,2.4581485139404498,6.14185148605955
gen=40_member=5054_pso,50,11588500.0,0.701146,11588547.789286416,0.7011461132731867,48781.04607997798,48781.04607997798,108.68417066619094,108.68417066619094,48181.74171599037,48181.74171599037,107.34892054322654,107.34892054322654,2.279136786032996,6.320863213967003,2.2791367860329963,6.320863213967003
gen=45_member=5693_pso,50,10709600.0,0.715379,10709593.135838162,0.7153791400536657,45013.264122283465,45013.264122283465,100.28955246444755,100.28955246444755,44331.89936597063,44331.89936597063,98.77147178738257,98.77147178738257,1.6855932697084195,6.91440673029158,1.6855932697084197,6.91440673029158
gen=48_member=6031_pso,50,12052400.0,0.665521,12052365.848215453,0.6655208087713973,50542.03664619567,50542.03664619567,112.60765764772395,112.60765764772395,50359.41582725156,50359.41582725156,112.20077846311648,112.20077846311648,3.148127845386162,5.451872154613838,3.1481278453861616,5.451872154613838
