child,parent_1,parent_2,parent_3
GEN=2_MEMBER=258_PSO,GEN=1_MEMBER=45_PSO,,
GEN=2_MEMBER=259_PSO,GEN=1_MEMBER=101_PSO,,
GEN=2_MEMBER=260_PSO,GEN=1_MEMBER=35_PSO,,
GEN=2_MEMBER=261_PSO,GEN=1_MEMBER=70_PSO,,
GEN=2_MEMBER=262_PSO,GEN=1_MEMBER=157_PSO,,
GEN=2_MEMBER=263_PSO,GEN=1_MEMBER=122_PSO,,
GEN=2_MEMBER=264_PSO,GEN=1_MEMBER=96_PSO,,
GEN=2_MEMBER=265_PSO,GEN=1_MEMBER=66_PSO,,
GEN=2_MEMBER=266_PSO,GEN=1_MEMBER=38_PSO,,
GEN=2_MEMBER=267_PSO,140,,
GEN=2_MEMBER=268_PSO,100,,
GEN=2_MEMBER=269_PSO,GEN=1_MEMBER=137_PSO,,
GEN=2_MEMBER=270_PSO,GEN=1_MEMBER=89_PSO,,
GEN=2_MEMBER=271_PSO,106,,
GEN=2_MEMBER=272_PSO,134,,
GEN=2_MEMBER=273_PSO,GEN=1_MEMBER=68_PSO,,
GEN=2_MEMBER=274_PSO,102,,
GEN=2_MEMBER=275_PSO,109,,
GEN=2_MEMBER=276_PSO,150,,
GEN=2_MEMBER=277_PSO,31,,
GEN=2_MEMBER=278_PSO,93,,
GEN=2_MEMBER=279_PSO,162,,
GEN=2_MEMBER=280_PSO,85,,
GEN=2_MEMBER=281_PSO,20,,
GEN=2_MEMBER=282_PSO,48,,
GEN=2_MEMBER=283_PSO,126,,
GEN=2_MEMBER=284_PSO,122,,
GEN=2_MEMBER=285_PSO,148,,
GEN=2_MEMBER=286_PSO,22,,
GEN=2_MEMBER=287_PSO,37,,
GEN=2_MEMBER=288_PSO,154,,
GEN=2_MEMBER=289_PSO,GEN=1_MEMBER=132_PSO,,
GEN=2_MEMBER=290_PSO,15,,
GEN=2_MEMBER=291_PSO,67,,
GEN=2_MEMBER=292_PSO,75,,
GEN=2_MEMBER=293_PSO,GEN=1_MEMBER=19_PSO,,
GEN=2_MEMBER=294_PSO,GEN=1_MEMBER=94_PSO,,
GEN=2_MEMBER=295_PSO,63,,
GEN=2_MEMBER=296_PSO,GEN=1_MEMBER=67_PSO,,
GEN=2_MEMBER=297_PSO,98,,
GEN=2_MEMBER=298_PSO,GEN=1_MEMBER=148_PSO,,
GEN=2_MEMBER=299_PSO,136,,
GEN=2_MEMBER=300_PSO,GEN=1_MEMBER=30_PSO,,
GEN=2_MEMBER=301_PSO,6,,
GEN=2_MEMBER=302_PSO,GEN=1_MEMBER=151_PSO,,
GEN=2_MEMBER=303_PSO,GEN=1_MEMBER=31_PSO,,
GEN=2_MEMBER=304_PSO,GEN=1_MEMBER=127_PSO,,
GEN=2_MEMBER=305_PSO,GEN=1_MEMBER=9_PSO,,
GEN=2_MEMBER=306_PSO,26,,
GEN=2_MEMBER=307_PSO,51,,
GEN=2_MEMBER=308_PSO,GEN=1_MEMBER=64_PSO,,
GEN=2_MEMBER=309_PSO,18,,
GEN=2_MEMBER=310_PSO,14,,
GEN=2_MEMBER=311_PSO,167,,
GEN=2_MEMBER=312_PSO,3,,
GEN=2_MEMBER=313_PSO,166,,
GEN=2_MEMBER=314_PSO,30,,
GEN=2_MEMBER=315_PSO,GEN=1_MEMBER=41_PSO,,
GEN=2_MEMBER=316_PSO,GEN=1_MEMBER=7_PSO,,
GEN=2_MEMBER=317_PSO,147,,
GEN=2_MEMBER=318_PSO,GEN=1_MEMBER=5_PSO,,
GEN=2_MEMBER=319_PSO,50,,
GEN=2_MEMBER=320_PSO,GEN=1_MEMBER=140_PSO,,
GEN=2_MEMBER=321_PSO,GEN=1_MEMBER=109_PSO,,
GEN=2_MEMBER=322_PSO,36,,
GEN=2_MEMBER=323_PSO,GEN=1_MEMBER=164_PSO,,
GEN=2_MEMBER=324_PSO,GEN=1_MEMBER=60_PSO,,
GEN=2_MEMBER=325_PSO,GEN=1_MEMBER=82_PSO,,
