member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=28_member=3493_pso,50,112.70825437281928,111.98587538795978,3.090806842299113,5.509193157700887,3.090806842299113,5.509193157700887
gen=39_member=4935_pso,50,106.3801681691645,103.94532287253078,2.0213117755318537,6.578688224468146,2.0213117755318537,6.578688224468146
gen=44_member=5540_pso,50,114.53935053258057,114.24014400405802,4.19770134372307,4.40229865627693,4.19770134372307,4.40229865627693
gen=42_member=5321_pso,50,112.74271276140006,111.78601953470147,3.0375429553571123,5.562457044642887,3.037542955357112,5.562457044642888
gen=39_member=4882_pso,50,102.04861038689992,99.8747179039148,1.7311642872531274,6.868835712746872,1.7311642872531274,6.868835712746872
gen=39_member=4970_pso,50,112.550902105522,111.96893622141724,3.133476939671035,5.4665230603289645,3.133476939671035,5.4665230603289645
gen=32_member=3991_pso,50,114.11748498664006,113.6728294514638,3.8587988098107666,4.7412011901892335,3.858798809810767,4.741201190189233
gen=37_member=4713_pso,50,113.62329616992702,113.25725659789096,3.725031305386037,4.874968694613963,3.725031305386037,4.874968694613963
gen=41_member=5214_pso,50,112.83850155832631,111.63241981318505,2.9217675048988117,5.678232495101188,2.921767504898812,5.678232495101188
gen=47_member=5902_pso,50,104.82619723989076,102.73306098283294,1.9035170647950834,6.696482935204916,1.9035170647950836,6.696482935204916
gen=45_member=5714_pso,50,111.5441493218038,110.83594791720645,2.9583619028947408,5.641638097105259,2.9583619028947417,5.6416380971052575
gen=45_member=5725_pso,50,96.33107850210814,94.92444773110908,1.4995762866896,7.100423713310399,1.4995762866896,7.100423713310399
gen=41_member=5219_pso,50,102.11167767092121,100.48885944280241,1.765657821452267,6.8343421785477325,1.765657821452267,6.8343421785477325
gen=38_member=4779_pso,50,106.95197505014431,106.563046480051,2.2307479046219183,6.369252095378082,2.2307479046219183,6.369252095378082
gen=39_member=4891_pso,50,114.04452867622658,114.03231986760247,4.133922772663108,4.466077227336892,4.133922772663108,4.466077227336892
gen=38_member=4772_pso,50,105.96187333443666,104.91317880806483,2.069298865201697,6.530701134798303,2.069298865201697,6.530701134798303
gen=42_member=5263_pso,50,114.5217720819255,114.2226322908421,4.194017426678351,4.405982573321649,4.194017426678351,4.405982573321649
gen=40_member=5076_pso,50,110.12340825700751,109.05327032793033,2.506916806535524,6.093083193464476,2.506916806535524,6.093083193464476
gen=49_member=6161_pso,50,96.12077302943432,95.02082706734132,1.507121775700919,7.09287822429908,1.5071217757009188,7.092878224299081
gen=43_member=5437_pso,50,110.89639124266456,110.03669614928387,2.664153731853429,5.9358462681465705,2.6641537318534287,5.935846268146571
gen=44_member=5578_pso,50,100.9755272472946,97.54597327332193,1.613148945323405,6.9868510546765945,1.6131489453234047,6.986851054676595
gen=36_member=4573_pso,50,95.34454684297248,94.42085314682879,1.4670362263043522,7.132963773695647,1.467036226304352,7.132963773695648
gen=44_member=5555_pso,50,108.35905241245798,106.33391522597017,2.1801279813367684,6.419872018663231,2.1801279813367684,6.419872018663231
gen=38_member=4840_pso,50,111.54088928533567,110.65515065434496,2.89415036265607,5.705849637343929,2.8941503626560694,5.70584963734393
gen=47_member=5966_pso,50,108.07935121426111,106.8318816343605,2.2515861865427147,6.3484138134572845,2.2515861865427143,6.348413813457285
gen=47_member=5898_pso,50,109.20208556624591,108.85591904641383,2.4638199090570296,6.13618009094297,2.4638199090570296,6.13618009094297
gen=38_member=4768_pso,50,99.4337445899463,97.90858493273069,1.6246944403027037,6.975305559697296,1.6246944403027035,6.975305559697296
gen=41_member=5241_pso,50,107.3323158920554,105.80415205228012,2.136021468651098,6.463978531348902,2.1360214686510974,6.463978531348902
gen=39_member=4901_pso,50,95.88550708593822,94.20507927130309,1.4634930103697525,7.136506989630247,1.4634930103697523,7.136506989630247
gen=40_member=5082_pso,50,100.5597504330896,97.74289426286462,1.6409722314787833,6.959027768521216,1.6409722314787831,6.959027768521216
gen=49_member=6158_pso,50,111.2629568994341,110.07893984150185,2.751981912848804,5.848018087151196,2.751981912848804,5.848018087151196
gen=49_member=6216_pso,50,110.87853722112972,110.45432501578411,2.837117057679754,5.762882942320246,2.8371170576797535,5.762882942320246
gen=47_member=6002_pso,50,97.00051719808124,95.10238539262453,1.5102412774079752,7.089758722592024,1.5102412774079752,7.089758722592024
gen=32_member=3978_pso,50,110.25053912128294,108.89158967774969,2.453313981441033,6.146686018558967,2.453313981441033,6.146686018558967
gen=24_member=2976_pso,50,111.28605767434495,109.8459283969095,2.6850501292237676,5.914949870776232,2.685050129223768,5.914949870776232
gen=46_member=5863_pso,50,110.06685037277339,107.6435948669181,2.312099736816777,6.287900263183223,2.312099736816777,6.287900263183223
gen=49_member=6159_pso,50,101.74785503091832,100.67367930629531,1.7773714633273998,6.8226285366726,1.7773714633273998,6.8226285366726
gen=49_member=6198_pso,50,108.17573092153894,105.98749701789104,2.150545043857054,6.4494549561429455,2.150545043857054,6.4494549561429455
gen=39_member=4883_pso,50,108.90827610733855,108.14164050688167,2.373392739367702,6.2266072606322975,2.373392739367702,6.2266072606322975
gen=36_member=4595_pso,50,112.83089954214338,112.53138228389614,3.188178930123629,5.411821069876371,3.188178930123629,5.411821069876371
