member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=31_member=5196_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.154128,37.154036317385696,115.76656551738569,4.37901,4.6240565725365546,3.975943427463445
gen=41_member=6995_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.0581728,33.05810757863159,111.6706367786316,2.50823,2.684667352019648,5.915332647980351
gen=39_member=6611_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.8961992,35.89623286365389,114.5087620636539,3.66312,3.8859968491573684,4.714003150842631
gen=49_member=8310_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.436708,30.43676948862573,109.04929868862573,1.88142,2.0302374536754213,6.569762546324578
gen=41_member=6917_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.7027312,30.7026693264571,109.3151985264571,1.93448,2.085015511069907,6.514984488930093
gen=42_member=7156_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.610492,30.610510708305725,109.22303990830572,1.91823,2.0683130857602356,6.5316869142397636
gen=29_member=4898_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.9271684,35.92717187396659,114.5397010739666,3.68037,3.907571731659919,4.69242826834008
gen=47_member=7961_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.81844,32.81846706326812,111.43099626326813,2.42627,2.5990133796544774,6.000986620345522
gen=31_member=5213_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.374698,34.37459988167344,112.98712908167344,2.94698,3.142174504977109,5.457825495022891
gen=33_member=5529_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,18.329822840000002,18.32982475749499,96.94235395749497,0.902294,0.9905383149515824,7.609461685048418
gen=41_member=6902_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.628389600000002,29.628353465378915,108.24088266537892,1.72975,1.8700508750817404,6.729949124918259
gen=43_member=7373_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.566823199999998,30.566917442941545,109.17944664294156,1.90841,2.0580814868898636,6.5419185131101365
gen=43_member=7354_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.3656388,36.365559376347385,114.97808857634739,3.91205,4.142504868792911,4.4574951312070885
gen=48_member=8255_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,18.692073360000002,18.692080334260165,97.30460953426017,0.907206,0.9961197712875025,7.603880228712497
gen=38_member=6443_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.6712428,31.67115470758055,110.28368390758054,2.14746,2.3078017188273234,6.292198281172676
