member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=40_member=6749_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.0337384,32.033822459218676,110.64635165921867,2.22633,1.9065172241562762,6.693482775843723
gen=45_member=7712_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.9644476,31.96441941761888,110.57694861761888,2.20694,1.8889253376361448,6.711074662363854
gen=49_member=8286_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.885799199999997,31.88574680923485,110.49827600923484,2.18552,1.8688625979881643,6.731137402011836
gen=47_member=7987_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.3378604,32.3379503115816,110.95047951158162,2.30822,1.981977936957162,6.6180220630428375
gen=42_member=7104_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.1305112,37.1305477391165,115.7430769391165,4.35228,3.8573310241011014,4.742668975898898
gen=44_member=7536_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,23.466855600000002,23.46684587614881,102.0793750761488,1.11985,0.9116152465706033,7.688384753429396
gen=38_member=6480_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.4072248,31.407133065935877,110.01966226593586,2.07448,1.7649032969158722,6.835096703084128
gen=43_member=7269_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.833296,36.83339971387087,115.44592891387086,4.14372,3.662136077304829,4.93786392269517
gen=35_member=5948_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.07392,37.07384621264411,115.68637541264411,4.33924,3.8449573650826077,4.755042634917392
gen=29_member=4871_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,17.843495,17.843497187733753,96.45602638773376,0.881544,0.7157142838277455,7.884285716172254
gen=36_member=6031_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.3383796,31.338390787551674,109.95091998755169,2.05415,1.7474066818640472,6.852593318135952
gen=39_member=6689_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,29.4165068,29.416418185838467,108.02894738583845,1.67871,1.411834996072835,7.188165003927165
gen=46_member=7811_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,30.8479968,30.84800808580873,109.46053728580873,1.95962,1.662949037260494,6.937050962739505
gen=36_member=6150_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,29.510305600000002,29.510270949002532,108.12280014900254,1.71536,1.4442980130874645,7.155701986912535
gen=28_member=4698_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,19.62453592,19.62453473077234,98.23706393077234,0.948853,0.7652690546660298,7.83473094533397
gen=45_member=7580_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.4249608621514802,7.175039137848519
gen=37_member=6318_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.3585092,36.35850397821222,114.97103317821221,3.89263,3.433105481285738,5.166894518714262
gen=39_member=6634_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.24659,37.24656995207669,115.8590991520767,4.3792,3.8826362518001933,4.717363748199807
gen=46_member=7788_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.533256,32.533172613400616,111.1457018134006,2.35444,2.021469413563328,6.578530586436671
gen=46_member=7881_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.1315468539739442,7.4684531460260555
gen=27_member=4566_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.489729468476766,6.110270531523234
gen=39_member=6698_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.52026,33.52015097310551,112.13268017310553,2.6497,2.2883169453692704,6.311683054630729
gen=41_member=6986_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,35.7676436,35.767651554973604,114.38018075497361,3.58673,3.140378488963579,5.459621511036421
gen=41_member=6973_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,35.1593996,35.15947657236159,113.77200577236158,3.28388,2.8589529863088656,5.741047013691134
gen=27_member=4568_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.5586552,32.558684654753776,111.17121385475377,2.37042,2.0384372731328377,6.561562726867162
gen=37_member=6357_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,32.625718,32.62572860768373,111.23825780768374,2.3887,2.052164299304956,6.547835700695044
gen=47_member=8006_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.7613316,36.761407828424296,115.37393702842431,4.09604,3.623807006176106,4.976192993823894
