member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_of_streamflow_shortfall,shortfall_tolerance_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,best_case_streamflow_cfs,worst_case_streamflow_cfs,best_case_T_factor,best_case_S_factor,best_case_diffusivity_factor,worst_case_T_factor,worst_case_S_factor,worst_case_diffusivity_factor,expected_diffusivity_factor,min_diffusivity_factor,max_diffusivity_factor,n_joint_scenarios
gen=48_member=8130_pso,30.29664546331896,6.733698320330934,1.8663016796690663,6.727358603708987,1.8726413962910131,-0.006339716621946323,0.006339716621946767,0.1425709105313112,0.14257091053131132,0.07445531357662914,0.3563452770013061,1e-10,0.18640461187201385,0.18640461187201388,6.40761119782903,6.733698320330934,6.994083019481255,1.575216980601316,1.8663016796690663,2.1542014597416586,7.228750835227999,6.128312441510516,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=42_member=7150_pso,23.018345966531463,7.512751084270679,1.087248915729321,7.507780471200674,1.0922195287993255,-0.004970613070004681,0.004970613070004459,0.10121021277205727,0.10121021277205734,0.05309041292103099,0.3563452770013061,1e-10,0.13229413571813803,0.13229413571813817,7.280147907831598,7.512751084270678,7.696541772576896,0.8820232262485089,1.0779394990565834,1.2925977983437298,7.858857081572594,7.079463955273866,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=46_member=7861_pso,36.57795625745423,4.592398918242795,4.007601081757205,4.586325392584148,4.013674607415851,-0.00607352565864705,0.006073525658646162,0.23036531922071227,0.2303653192207124,0.11821942243967955,0.3563452770013061,1e-10,0.300816089343381,0.3008160893433811,4.077365963596403,4.570411625130425,5.022078537604659,3.526072891867877,4.007601081757204,4.463705812089969,5.424781597597461,3.654412743906793,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=47_member=8013_pso,24.18988587830649,7.452237678911723,1.147762321088277,7.447302535595334,1.1526974644046661,-0.004935143316388668,0.004935143316389112,0.10817012762064897,0.10817012762064891,0.05655263546851896,0.3563452770013061,1e-10,0.1413353942850495,0.14133539428504946,7.204657977390352,7.452237678911722,7.649479291568969,0.9274138852310481,1.1377925475791066,1.3664547717215871,7.824980859220926,6.994164237567106,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=34_member=5833_pso,37.05546674905064,4.3065435066022655,4.293456493397734,4.300656101417466,4.299343898582535,-0.00588740518479991,0.005887405184800798,0.23857021805641987,0.23857021805641995,0.12222881162061028,0.3563452770013061,1e-10,0.3115188389367902,0.31151883893679033,3.7741659995248247,4.2837895687445835,4.752389055267221,3.7936388417753486,4.293456493397733,4.764940497929671,5.171748840782241,3.3385026616571265,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=29_member=4835_pso,31.16289112554577,6.575014360023404,2.024985639976596,6.568335576262533,2.031664423737467,-0.006678783760871276,0.006678783760870832,0.15113861416362226,0.15113861416362204,0.07890869896224689,0.3563452770013061,1e-10,0.1976058051207582,0.19760580512075815,6.229454025669499,6.575014360023402,6.851137650541968,1.7162950344320491,2.011064005123916,2.330086371424298,7.100158481792553,5.93335778897119,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=43_member=7309_pso,28.362383210764136,7.063589597449552,1.5364104025504484,7.057636679879498,1.5423633201205025,-0.005952917570054339,0.005952917570054117,0.12643390733558002,0.12643390733558024,0.0661934124528175,0.3563452770013061,1e-10,0.1655140604563908,0.16551406045639094,6.773271873695152,7.051434848486738,7.294007657253007,1.2785542335650508,1.536410402550448,1.79253145388547,7.505167712622836,6.5219120173227765,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=42_member=7162_pso,34.265693983561704,5.67901004605478,2.9209899539452198,5.671722723760925,2.9282772762390747,-0.007287322293855425,0.007287322293854981,0.19051008169940076,0.19051008169940062,0.09889870199662792,0.3563452770013061,1e-10,0.24901674304675464,0.2490167430467545,5.246484248087307,5.679010046054779,6.029519876278096,2.528756007637066,2.9033907561706274,3.3031497946641304,6.35093197349882,4.880960373633775,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=43_member=7394_pso,29.69937939750987,6.85907675375209,1.7409232462479096,6.852723895039257,1.747276104960743,-0.006352858712832976,0.00635285871283342,0.13688066313409733,0.1368806631340973,0.07161676092346533,0.3563452770013061,1e-10,0.17899017785032498,0.17899017785032495,6.545255812402734,6.84590317783936,7.108494033884586,1.4621794656566651,1.7409232462479094,2.0179107572176527,7.332213922095142,6.275304642547688,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=47_member=7994_pso,27.707961235794844,7.174490003312835,1.4255099966871652,7.169478044245543,1.4305219557544568,-0.0050119590672919045,0.0050119590672916825,0.12134917637001923,0.12134917637001909,0.06318056771865561,0.3563452770013061,1e-10,0.1587389541941613,0.15873895419416126,6.897627280257117,7.174490003312834,7.396986528943645,1.1767011908531642,1.4143141044407974,1.669781524852929,7.598072507271696,6.657778362592926,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
