child,parent_1,parent_2,parent_3
GEN=14_MEMBER=342_PSO,GEN=4_MEMBER=85_PSO,,
GEN=14_MEMBER=343_PSO,5,,
GEN=14_MEMBER=344_PSO,GEN=13_MEMBER=318_PSO,,
GEN=14_MEMBER=345_PSO,GEN=12_MEMBER=286_PSO,,
GEN=14_MEMBER=346_PSO,GEN=10_MEMBER=241_PSO,,
GEN=14_MEMBER=347_PSO,GEN=9_MEMBER=219_PSO,,
GEN=14_MEMBER=348_PSO,GEN=13_MEMBER=317_PSO,,
GEN=14_MEMBER=349_PSO,GEN=12_MEMBER=299_PSO,,
GEN=14_MEMBER=350_PSO,GEN=9_MEMBER=225_PSO,,
GEN=14_MEMBER=351_PSO,GEN=13_MEMBER=328_PSO,,
GEN=14_MEMBER=352_PSO,19,,
GEN=14_MEMBER=353_PSO,GEN=11_MEMBER=265_PSO,,
GEN=14_MEMBER=354_PSO,GEN=11_MEMBER=273_PSO,,
GEN=14_MEMBER=355_PSO,GEN=5_MEMBER=118_PSO,,
GEN=14_MEMBER=356_PSO,GEN=13_MEMBER=312_PSO,,
GEN=14_MEMBER=357_PSO,GEN=10_MEMBER=259_PSO,,
GEN=14_MEMBER=358_PSO,22,,
GEN=14_MEMBER=359_PSO,GEN=13_MEMBER=325_PSO,,
GEN=14_MEMBER=360_PSO,GEN=7_MEMBER=167_PSO,,
GEN=14_MEMBER=361_PSO,GEN=7_MEMBER=165_PSO,,
GEN=14_MEMBER=362_PSO,GEN=12_MEMBER=294_PSO,,
GEN=14_MEMBER=363_PSO,GEN=13_MEMBER=316_PSO,,
GEN=15_MEMBER=364_PSO,16,,
GEN=15_MEMBER=365_PSO,GEN=14_MEMBER=339_PSO,,
GEN=15_MEMBER=366_PSO,GEN=11_MEMBER=273_PSO,,
GEN=15_MEMBER=367_PSO,GEN=7_MEMBER=165_PSO,,
GEN=15_MEMBER=368_PSO,GEN=4_MEMBER=85_PSO,,
GEN=15_MEMBER=369_PSO,5,,
GEN=15_MEMBER=370_PSO,GEN=13_MEMBER=318_PSO,,
GEN=15_MEMBER=371_PSO,GEN=14_MEMBER=353_PSO,,
GEN=15_MEMBER=372_PSO,GEN=9_MEMBER=225_PSO,,
GEN=15_MEMBER=373_PSO,GEN=14_MEMBER=360_PSO,,
GEN=15_MEMBER=374_PSO,GEN=12_MEMBER=299_PSO,,
GEN=15_MEMBER=375_PSO,19,,
GEN=15_MEMBER=376_PSO,GEN=9_MEMBER=219_PSO,,
GEN=15_MEMBER=377_PSO,GEN=14_MEMBER=345_PSO,,
GEN=15_MEMBER=378_PSO,GEN=5_MEMBER=118_PSO,,
GEN=15_MEMBER=379_PSO,GEN=14_MEMBER=352_PSO,,
