member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
gen=45_member=7630_pso,20.273425248681576,7.635685795159002,0.9643142048409978,7.6372869158144905,0.9627130841855087,0.0016011206554882307,-0.0016011206554891189,0.06681101581972079,0.06681101581972075,0.032604947582116,0.03260494758211579,0.08310699286423663,0.08310699286423656,7.482559704431595,7.617731342349671,7.762058858495898,0.7993137800771437,0.9460552590452386,1.08354643147877
gen=41_member=7002_pso,31.456010064777686,6.50676668571727,2.0932333142827297,6.5098920748654985,2.090107925134501,0.0031253891482281304,-0.0031253891482285745,0.10773301271680667,0.10773301271680667,0.052303811784289125,0.05230381178428891,0.1340894829628751,0.13408948296287512,6.261521302114814,6.477902638588217,6.711825952148921,1.8247497848317709,2.0637760656290602,2.2843572844221907
gen=44_member=7416_pso,22.53949283051267,7.562654399840738,1.0373456001592622,7.564502879918845,1.035497120081155,0.0018484800781077837,-0.0018484800781073396,0.0721008816563183,0.07210088165631827,0.03512620078910554,0.03512620078910541,0.08969423760018812,0.08969423760018813,7.397829950170922,7.54329194623945,7.699306357815731,0.8588117255082687,1.0176316392976414,1.1657535077582097
gen=48_member=8130_pso,30.29664546331896,6.733698320330934,1.8663016796690663,6.7365790736729885,1.8634209263270114,0.0028807533420547315,-0.0028807533420549536,0.10012781074195809,0.10012781074195788,0.0486235286999519,0.04862352869995158,0.1246141394165852,0.12461413941658506,6.505723517397155,6.706863389136039,6.924219151455567,1.6169159389271313,1.838921430019894,2.0439743524537137
gen=42_member=7150_pso,23.018345966531463,7.512751084270679,1.087248915729321,7.514572368800935,1.0854276311990654,0.0018212845302558733,-0.0018212845302556513,0.07110785123532133,0.0711078512353213,0.03464328335253287,0.03464328335253275,0.08845907244327701,0.08845907244327701,7.350189614486072,7.493655233373072,7.647517271902539,0.9111783103988558,1.0678067848529313,1.2138923822930427
gen=46_member=7861_pso,36.57795625745423,4.592398918242795,4.007601081757205,4.598959780552599,4.0010402194474,0.0065608623098043495,-0.0065608623098043495,0.16215467864526534,0.16215467864526523,0.0777969081677305,0.0777969081677305,0.2019581372004639,0.2019581372004638,4.229738658908608,4.549199089119639,4.9051885007192615,3.596323970830176,3.9630996458563192,4.2912217299577575
gen=47_member=8013_pso,24.189885878306495,7.452237678911723,1.147762321088277,7.454350542309121,1.1456494576908787,0.002112863397398357,-0.002112863397398357,0.07604115127605698,0.07604115127605714,0.036964143939329425,0.03696414393932949,0.0946069922445097,0.09460699224450983,7.278978849855457,7.431835900067101,7.5967284247698315,0.9588271951023117,1.1269590029148937,1.2828300245473645
gen=34_member=5833_pso,37.05546674905064,4.3065435066022655,4.293456493397734,4.313533173944649,4.286466826055349,0.006989667342383932,-0.00698966734238482,0.16798519740198858,0.1679851974019886,0.08049776502980184,0.08049776502980184,0.20923387126008527,0.20923387126008533,3.931424270519617,4.26181547679011,4.631023816971674,3.8666385672292956,4.247311278584737,4.5868365742245505
gen=29_member=4835_pso,31.16289112554577,6.575014360023404,2.0249856399765958,6.57808847498531,2.02191152501469,0.003074114961905572,-0.003074114961905572,0.10614667841080858,0.1061466784108086,0.051536281724451946,0.05153628172445174,0.13210650048271333,0.13210650048271333,6.333406019007426,6.546569037865694,6.777033642580412,1.7605287947924901,1.9959580454704682,2.2132945230744894
gen=43_member=7309_pso,28.362383210764136,7.0635895974495515,1.5364104025504484,7.065944422794667,1.5340555772053326,0.00235482534511533,-0.002354825345115774,0.08862074081653863,0.08862074081653863,0.04313295773571146,0.04313295773571136,0.11034397622459545,0.1103439762245954,6.8610120357781685,7.039833480006556,7.23186074454771,1.3157759209948896,1.5122306161022525,1.6941295141662964
