real_name,total_pumping_cfs,streamflow_cfs,depletion_cfs,scenario,source_file
gen=42_member=5374_pso,112.55962176614192,5.404634033161063,3.1953659668389367,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6063_pso,111.5271380676041,5.644945459733041,2.955054540266959,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4733_pso,108.61156309319594,6.171699368849394,2.428300631150606,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4788_pso,112.62398846957838,5.176809068516462,3.423190931483538,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5267_pso,107.45597705784031,6.25265429188846,2.34734570811154,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5801_pso,113.12069608391144,5.091722587901828,3.508277412098173,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5934_pso,113.82845268608736,4.727523465369273,3.872476534630727,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5041_pso,99.76384778944056,6.879761105089104,1.7202388949108955,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5596_pso,102.5824989565538,6.693556892688298,1.9064431073117016,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5800_pso,96.39977133183513,7.0609735356928,1.5390264643071996,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
90,116.67468713137949,4.024778407074203,4.575221592925796,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
8,116.819175058614,4.0256290590736885,4.574370940926311,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5927_pso,113.32607814094932,4.802858315536497,3.797141684463503,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=23_member=2880_pso,112.54488816405248,5.213580859432441,3.3864191405675586,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5694_pso,110.26632303575404,5.784267762124034,2.8157322378759657,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4157_pso,113.29242406732844,4.82124385645948,3.77875614354052,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4884_pso,108.19091160155206,6.190171289042105,2.409828710957895,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5440_pso,112.7857427807531,5.142030416018201,3.4579695839817983,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4206_pso,106.53505039490534,6.334191750730906,2.2658082492690945,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6130_pso,106.17302153939254,6.389912498135963,2.2100875018640367,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5021_pso,112.60092388634176,5.20019904354699,3.3998009564530096,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5738_pso,100.0899902755567,6.830547587811943,1.7694524121880564,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
