member,generation,fixed_pumping_cfs,fixed_streamflow_cfs,fixed_depletion_cfs,optimized_streamflow_cfs,optimized_depletion_cfs,scenario,original_scenario,scenario_label,streamflow_gap_cfs,depletion_gap_cfs,streamflow_loss_cfs,depletion_loss_cfs,fixed_streamflow_advantage_cfs,fixed_depletion_advantage_cfs,fixed_better_streamflow,fixed_better_depletion,absolute_streamflow_gap_cfs,absolute_depletion_gap_cfs,is_comparable_with_original_front,original_front_pumping_min_cfs,original_front_pumping_max_cfs
gen=45_member=5711_pso,50,98.88330928345108,7.031434357060459,1.56856564293954,7.021824510092927,1.5781754899070732,T_minus_10pct,original_T_minus_10pct,T −10%,-0.009609846967532754,-0.009609846967533198,0.0,0.0,0.009609846967532754,0.009609846967533198,False,False,0.009609846967532754,0.009609846967533198,True,91.74281113919692,117.41614755261728
gen=29_member=3643_pso,50,102.35342522480737,6.832160504240486,1.767839495759514,6.8422395170171635,1.757760482982836,T_minus_10pct,original_T_minus_10pct,T −10%,0.010079012776677665,0.010079012776678109,0.010079012776677665,0.010079012776678109,0.0,0.0,False,False,0.010079012776677665,0.010079012776678109,True,91.74281113919692,117.41614755261728
gen=28_member=3493_pso,50,111.98587538795978,5.6926808104324165,2.907319189567583,5.595476836069546,3.0045231639304535,T_minus_10pct,original_T_minus_10pct,T −10%,-0.09720397436287076,-0.09720397436287032,0.0,0.0,0.09720397436287076,0.09720397436287032,True,True,0.09720397436287076,0.09720397436287032,True,91.74281113919692,117.41614755261728
gen=39_member=4935_pso,50,103.94532287253078,6.7086341186489244,1.8913658813510756,6.725831669745676,1.874168330254324,T_minus_10pct,original_T_minus_10pct,T −10%,0.017197551096751695,0.017197551096751695,0.017197551096751695,0.017197551096751695,0.0,0.0,False,False,0.017197551096751695,0.017197551096751695,True,91.74281113919692,117.41614755261728
gen=44_member=5540_pso,50,114.24014400405802,4.624405181230975,3.9755948187690247,4.664551478653814,3.9354485213461854,T_minus_10pct,original_T_minus_10pct,T −10%,0.04014629742283837,0.04014629742283926,0.04014629742283837,0.04014629742283926,0.0,0.0,False,False,0.04014629742283837,0.04014629742283926,True,91.74281113919692,117.41614755261728
gen=42_member=5321_pso,50,111.78601953470148,5.744080737069761,2.8559192629302386,5.59152301462813,3.008476985371869,T_minus_10pct,original_T_minus_10pct,T −10%,-0.1525577224416308,-0.15255772244163035,0.0,0.0,0.1525577224416308,0.15255772244163035,True,True,0.1525577224416308,0.15255772244163035,True,91.74281113919692,117.41614755261728
gen=39_member=4882_pso,50,99.8747179039148,6.980620160145488,1.6193798398545118,6.989074445093506,1.610925554906494,T_minus_10pct,original_T_minus_10pct,T −10%,0.008454284948017587,0.00845428494801781,0.008454284948017587,0.00845428494801781,0.0,0.0,False,False,0.008454284948017587,0.00845428494801781,True,91.74281113919692,117.41614755261728
gen=39_member=4970_pso,50,111.96893622141724,5.653556146254919,2.94644385374508,5.45321931863516,3.1467806813648393,T_minus_10pct,original_T_minus_10pct,T −10%,-0.20033682761975946,-0.20033682761975946,0.0,0.0,0.20033682761975946,0.20033682761975946,True,True,0.20033682761975946,0.20033682761975946,True,91.74281113919692,117.41614755261728
gen=32_member=3991_pso,50,113.6728294514638,4.952077055849268,3.647922944150732,4.9786257897020025,3.6213742102979967,T_minus_10pct,original_T_minus_10pct,T −10%,0.026548733852734152,0.026548733852735484,0.026548733852734152,0.026548733852735484,0.0,0.0,False,False,0.026548733852734152,0.026548733852735484,True,91.74281113919692,117.41614755261728
gen=37_member=4713_pso,50,113.25725659789096,5.080607519124933,3.5193924808750667,5.096377053602225,3.503622946397775,T_minus_10pct,original_T_minus_10pct,T −10%,0.015769534477292346,0.015769534477291902,0.015769534477292346,0.015769534477291902,0.0,0.0,False,False,0.015769534477292346,0.015769534477291902,True,91.74281113919692,117.41614755261728
gen=41_member=5214_pso,50,111.63241981318504,5.854259698503527,2.7457403014964727,5.859743289562143,2.740256710437857,T_minus_10pct,original_T_minus_10pct,T −10%,0.005483591058616177,0.005483591058615733,0.005483591058616177,0.005483591058615733,0.0,0.0,False,False,0.005483591058616177,0.005483591058615733,True,91.74281113919692,117.41614755261728
gen=47_member=5902_pso,50,102.73306098283294,6.822878060917221,1.777121939082779,6.821597071205553,1.778402928794446,T_minus_10pct,original_T_minus_10pct,T −10%,-0.0012809897116676794,-0.0012809897116670133,0.0,0.0,0.0012809897116676794,0.0012809897116670133,False,False,0.0012809897116676794,0.0012809897116670133,True,91.74281113919692,117.41614755261728
gen=45_member=5714_pso,50,110.83594791720644,5.821432575407447,2.778567424592553,5.873528388698387,2.726471611301613,T_minus_10pct,original_T_minus_10pct,T −10%,0.05209581329093993,0.05209581329093993,0.05209581329093993,0.05209581329093993,0.0,0.0,False,False,0.05209581329093993,0.05209581329093993,True,91.74281113919692,117.41614755261728
gen=45_member=5725_pso,50,94.92444773110908,7.1964640042072,1.4035359957927998,7.174774544780589,1.4252254552194112,T_minus_10pct,original_T_minus_10pct,T −10%,-0.021689459426610824,-0.02168945942661149,0.0,0.0,0.021689459426610824,0.02168945942661149,True,True,0.021689459426610824,0.02168945942661149,True,91.74281113919692,117.41614755261728
gen=41_member=5219_pso,50,100.4888594428024,6.951419628915769,1.6485803710842308,6.961104948478385,1.6388950515216143,T_minus_10pct,original_T_minus_10pct,T −10%,0.009685319562616534,0.009685319562616534,0.009685319562616534,0.009685319562616534,0.0,0.0,False,False,0.009685319562616534,0.009685319562616534,True,91.74281113919692,117.41614755261728
gen=38_member=4779_pso,50,106.563046480051,6.508078250986588,2.0919217490134114,6.540753429866106,2.0592465701338942,T_minus_10pct,original_T_minus_10pct,T −10%,0.03267517887951765,0.03267517887951721,0.03267517887951765,0.03267517887951721,0.0,0.0,False,False,0.03267517887951765,0.03267517887951721,True,91.74281113919692,117.41614755261728
